Name	Length
Sevir.4G006500.1	2410
Sevir.4G006600.1	1426
Sevir.4G006700.1	2542
Sevir.4G006800.1	1484
Sevir.4G006900.1	1191
Sevir.4G007000.2	1123
Sevir.4G007100.1	1493
Sevir.4G007200.1	672
Sevir.4G007300.1	1123
Sevir.4G007400.1	2549
Sevir.4G007401.1	1699
Sevir.4G007402.1	513
Sevir.4G007403.1	1706
Sevir.4G007700.1	1055
Sevir.4G007701.1	174
Sevir.4G007800.1	1799
Sevir.4G007801.1	1751
Sevir.4G007900.1	1292
Sevir.4G008000.2	1442
Sevir.4G008100.1	1372
Sevir.4G008200.1	3037
Sevir.4G008300.1	2394
Sevir.4G008400.1	949
Sevir.4G008500.1	2569
Sevir.4G008600.1	4377
Sevir.4G008700.1	1364
Sevir.4G008800.2	4564
Sevir.4G009000.1	4304
Sevir.4G009100.1	1476
Sevir.4G009200.6	2307
Sevir.4G009300.1	3683
Sevir.4G009400.1	3758
Sevir.4G009500.1	3880
Sevir.4G009501.1	111
Sevir.4G009502.1	966
Sevir.4G009600.1	1483
Sevir.4G009601.1	201
Sevir.4G009700.1	963
Sevir.4G009701.1	2251
Sevir.4G009900.1	1520
Sevir.4G010000.1	755
Sevir.4G010100.7	3576
Sevir.4G010200.1	1677
Sevir.4G010300.1	827
Sevir.4G010400.1	679
Sevir.4G010500.1	1923
Sevir.4G010600.2	5024
Sevir.4G010700.1	926
Sevir.4G010800.1	1791
Sevir.4G010801.1	510
Sevir.4G010802.1	300
Sevir.4G010900.1	2367
Sevir.4G011000.1	1807
Sevir.4G011100.1	5913
Sevir.4G011101.1	306
Sevir.4G011200.1	3469
Sevir.4G011201.1	424
Sevir.4G011202.1	3478
Sevir.4G011203.1	1384
Sevir.4G011204.1	1629
Sevir.4G011400.1	1644
Sevir.4G011500.1	1363
Sevir.4G011600.1	1628
Sevir.4G011700.1	2067
Sevir.4G011800.1	1690
Sevir.4G011900.1	2547
Sevir.4G012000.1	276
Sevir.4G012100.2	1479
Sevir.4G012101.1	520
Sevir.4G012200.1	2663
Sevir.4G012300.1	1387
Sevir.4G012400.1	1127
Sevir.4G012500.1	2808
Sevir.4G012501.1	2012
Sevir.4G012600.1	2161
Sevir.4G012700.1	1636
Sevir.4G012800.1	3004
Sevir.4G012900.3	2386
Sevir.4G013000.1	2044
Sevir.4G013100.1	1851
Sevir.4G013200.1	543
Sevir.4G013300.1	1530
Sevir.4G013400.1	1098
Sevir.4G013500.1	300
Sevir.4G013600.1	1994
Sevir.4G013700.1	1822
Sevir.4G013800.2	2991
Sevir.4G013900.1	1315
Sevir.4G014000.1	699
Sevir.4G014100.1	1173
Sevir.4G014200.1	2950
Sevir.4G014300.1	1859
Sevir.4G014301.1	513
Sevir.4G014500.1	1838
Sevir.4G014600.1	1157
Sevir.4G014700.1	714
Sevir.4G014800.1	1047
Sevir.4G014900.1	3091
Sevir.4G015000.1	7167
Sevir.4G015001.1	576
Sevir.4G015100.1	3946
Sevir.4G015200.1	1603
Sevir.4G015300.1	3679
Sevir.4G015400.1	2541
Sevir.4G015401.1	2239
Sevir.4G015500.1	2095
Sevir.4G015600.1	894
Sevir.4G015700.1	2247
Sevir.4G015701.1	606
Sevir.4G015702.1	713
Sevir.4G015900.1	1205
Sevir.4G016000.1	515
Sevir.4G016100.1	2750
Sevir.4G016200.1	1295
Sevir.4G016300.1	1466
Sevir.4G016400.1	1233
Sevir.4G016500.5	2820
Sevir.4G016600.1	1420
Sevir.4G016700.1	2548
Sevir.4G016800.1	2253
Sevir.4G016900.2	1860
Sevir.4G017000.1	3188
Sevir.4G017100.1	1636
Sevir.4G017200.1	2596
Sevir.4G017300.1	330
Sevir.4G017400.1	1336
Sevir.4G017500.1	3447
Sevir.4G017600.1	2520
Sevir.4G017700.1	2871
Sevir.4G017800.1	941
Sevir.4G017900.1	2226
Sevir.4G018000.1	1678
Sevir.4G018100.1	771
Sevir.4G018200.1	1585
Sevir.4G018300.1	1121
Sevir.4G018301.1	256
Sevir.4G018400.1	2152
Sevir.4G018500.1	3238
Sevir.4G018600.1	1481
Sevir.4G018700.1	2116
Sevir.4G018800.1	2880
Sevir.4G018900.1	312
Sevir.4G019000.1	1237
Sevir.4G019100.1	1359
Sevir.4G019200.1	2137
Sevir.4G019300.1	2037
Sevir.4G019400.1	2045
Sevir.4G019500.1	3735
Sevir.4G019501.1	811
Sevir.4G019502.1	3793
Sevir.4G019600.1	861
Sevir.4G019601.1	3268
Sevir.4G019700.1	2643
Sevir.4G019800.1	330
Sevir.4G019900.1	2076
Sevir.4G020000.1	2906
Sevir.4G020100.1	2727
Sevir.4G020200.1	1220
Sevir.4G020300.1	2135
Sevir.4G020400.1	1140
Sevir.4G020500.1	803
Sevir.4G020600.1	1776
Sevir.4G020700.1	474
Sevir.4G020800.1	738
Sevir.4G020900.1	738
Sevir.4G021000.1	3244
Sevir.4G021100.1	1481
Sevir.4G021200.1	1023
Sevir.4G021300.1	2379
Sevir.4G021400.1	2247
Sevir.4G021500.2	6018
Sevir.4G021600.2	1002
Sevir.4G021700.1	1276
Sevir.4G021800.1	1861
Sevir.4G021900.1	2221
Sevir.4G022000.2	4287
Sevir.4G022100.1	942
Sevir.4G022200.1	568
Sevir.4G022300.1	333
Sevir.4G022400.1	1751
Sevir.4G022500.1	1188
Sevir.4G022600.1	2130
Sevir.4G022700.1	729
Sevir.4G022701.1	628
Sevir.4G022800.1	2788
Sevir.4G022900.1	2144
Sevir.4G023000.1	899
Sevir.4G023100.1	2760
Sevir.4G023200.1	1885
Sevir.4G023300.1	1323
Sevir.4G023400.1	1029
Sevir.4G023500.1	2597
Sevir.4G023600.1	2539
Sevir.4G023700.1	2057
Sevir.4G023800.1	858
Sevir.4G023900.3	2529
Sevir.4G024000.3	1570
Sevir.4G024100.1	554
Sevir.4G024101.1	169
Sevir.4G024200.1	1344
Sevir.4G024300.2	1467
Sevir.4G024400.8	6784
Sevir.4G024401.1	1983
Sevir.4G024500.1	1201
Sevir.4G024600.2	1804
Sevir.4G024700.1	2017
Sevir.4G024800.1	1280
Sevir.4G024900.1	2466
Sevir.4G025000.1	3574
Sevir.4G025100.1	1456
Sevir.4G025200.1	987
Sevir.4G025300.6	2498
Sevir.4G025301.1	495
Sevir.4G025302.1	444
Sevir.4G025500.1	3860
Sevir.4G025600.1	1353
Sevir.4G025700.1	1141
Sevir.4G025800.1	2507
Sevir.4G025900.1	5939
Sevir.4G025901.1	348
Sevir.4G026000.1	4066
Sevir.4G026100.4	2130
Sevir.4G026200.1	1563
Sevir.4G026300.1	1458
Sevir.4G026400.1	510
Sevir.4G026500.1	2054
Sevir.4G026600.1	2490
Sevir.4G026700.1	2442
Sevir.4G026800.1	1159
Sevir.4G026900.1	2128
Sevir.4G027000.1	515
Sevir.4G027100.1	1418
Sevir.4G027200.1	858
Sevir.4G027300.1	904
Sevir.4G027400.1	1916
Sevir.4G027500.1	1252
Sevir.4G027600.2	3658
Sevir.4G027700.1	932
Sevir.4G027701.1	324
Sevir.4G027800.3	1521
Sevir.4G027900.1	1474
Sevir.4G028000.1	3055
Sevir.4G028100.1	1554
Sevir.4G028200.1	3188
Sevir.4G028300.1	2460
Sevir.4G028400.1	483
Sevir.4G028500.1	2873
Sevir.4G028600.1	1508
Sevir.4G028700.1	1058
Sevir.4G028800.1	883
Sevir.4G028900.1	336
Sevir.4G029000.1	351
Sevir.4G029100.1	818
Sevir.4G029200.2	782
Sevir.4G029300.1	776
Sevir.4G029400.1	496
Sevir.4G029500.1	921
Sevir.4G029600.1	2818
Sevir.4G029700.1	2206
Sevir.4G029800.1	959
Sevir.4G029900.1	1808
Sevir.4G030000.2	2570
Sevir.4G030100.2	1445
Sevir.4G030200.2	1581
Sevir.4G030300.1	2528
Sevir.4G030301.1	350
Sevir.4G030400.1	1965
Sevir.4G030500.1	2125
Sevir.4G030600.1	2896
Sevir.4G030700.1	3445
Sevir.4G030800.1	1307
Sevir.4G030900.1	1537
Sevir.4G031000.1	1563
Sevir.4G031100.1	2160
Sevir.4G031200.1	4910
Sevir.4G031300.1	3111
Sevir.4G031400.1	843
Sevir.4G031500.1	1551
Sevir.4G031600.1	1463
Sevir.4G031700.1	1916
Sevir.4G031800.1	2638
Sevir.4G031900.1	1023
Sevir.4G032000.1	1671
Sevir.4G032100.1	861
Sevir.4G032200.1	720
Sevir.4G032300.1	1924
Sevir.4G032400.1	2125
Sevir.4G032500.2	1879
Sevir.4G032600.1	1344
Sevir.4G032700.1	1549
Sevir.4G032800.1	2766
Sevir.4G032900.1	1663
Sevir.4G033000.1	921
Sevir.4G033100.1	1108
Sevir.4G033200.6	1472
Sevir.4G033300.1	782
Sevir.4G033400.1	892
Sevir.4G033401.1	896
Sevir.4G033402.1	692
Sevir.4G033500.1	576
Sevir.4G033501.1	192
Sevir.4G033502.1	409
Sevir.4G033503.1	1006
Sevir.4G033600.5	405
Sevir.4G033700.1	1557
Sevir.4G033800.1	1336
Sevir.4G033900.1	1256
Sevir.4G034000.1	958
Sevir.4G034100.1	883
Sevir.4G034200.1	348
Sevir.4G034300.1	676
Sevir.4G034301.1	2977
Sevir.4G034400.1	2243
Sevir.4G034500.1	1921
Sevir.4G034501.1	534
Sevir.4G034600.1	1898
Sevir.4G034700.1	549
Sevir.4G034800.1	1777
Sevir.4G034900.1	1320
Sevir.4G035000.1	1589
Sevir.4G035001.1	581
Sevir.4G035100.1	1529
Sevir.4G035200.1	795
Sevir.4G035300.1	1046
Sevir.4G035301.1	764
Sevir.4G035302.1	298
Sevir.4G035400.1	1483
Sevir.4G035401.1	1306
Sevir.4G035402.1	864
Sevir.4G035600.1	774
Sevir.4G035700.1	2178
Sevir.4G035800.1	1669
Sevir.4G035801.1	796
Sevir.4G035802.1	1251
Sevir.4G035803.1	786
Sevir.4G036000.1	1961
Sevir.4G036100.1	1207
Sevir.4G036101.1	1174
Sevir.4G036200.1	1051
Sevir.4G036300.1	1645
Sevir.4G036400.1	330
Sevir.4G036401.1	561
Sevir.4G036402.1	2110
Sevir.4G036500.1	933
Sevir.4G036600.1	1509
Sevir.4G036601.1	874
Sevir.4G036700.1	1327
Sevir.4G036800.1	3590
Sevir.4G036801.1	1086
Sevir.4G036900.1	5605
Sevir.4G037000.1	2091
Sevir.4G037100.1	1016
Sevir.4G037200.1	1166
Sevir.4G037300.1	1244
Sevir.4G037301.1	130
Sevir.4G037400.1	576
Sevir.4G037500.1	573
Sevir.4G037600.1	615
Sevir.4G037700.1	618
Sevir.4G037800.1	1334
Sevir.4G037900.3	4508
Sevir.4G038000.1	2034
Sevir.4G038100.1	223
Sevir.4G038200.1	1916
Sevir.4G038300.1	2546
Sevir.4G038400.1	3605
Sevir.4G038401.1	723
Sevir.4G038600.1	2645
Sevir.4G038700.2	1068
Sevir.4G038701.1	1085
Sevir.4G038800.1	1116
Sevir.4G038900.1	1155
Sevir.4G039000.1	1694
Sevir.4G039100.1	1062
Sevir.4G039200.1	3567
Sevir.4G039300.1	3319
Sevir.4G039400.1	1694
Sevir.4G039401.1	3372
Sevir.4G039500.1	1846
Sevir.4G039600.1	1136
Sevir.4G039700.1	2421
Sevir.4G039800.1	726
Sevir.4G039900.1	1341
Sevir.4G040000.1	1928
Sevir.4G040100.1	3285
Sevir.4G040200.1	1696
Sevir.4G040300.1	1669
Sevir.4G040400.1	3062
Sevir.4G040500.2	908
Sevir.4G040600.1	5115
Sevir.4G040700.1	725
Sevir.4G040800.1	2215
Sevir.4G040900.2	2429
Sevir.4G040901.1	2141
Sevir.4G041100.1	4492
Sevir.4G041300.1	564
Sevir.4G041301.1	1288
Sevir.4G041400.1	1921
Sevir.4G041500.8	2771
Sevir.4G041600.1	633
Sevir.4G041700.1	1734
Sevir.4G041800.1	1287
Sevir.4G041801.1	1221
Sevir.4G041802.1	1673
Sevir.4G041803.1	3548
Sevir.4G041900.1	411
Sevir.4G041901.1	816
Sevir.4G042100.1	4250
Sevir.4G042200.1	1563
Sevir.4G042300.1	2036
Sevir.4G042400.1	1600
Sevir.4G042500.1	1351
Sevir.4G042600.1	3302
Sevir.4G042700.1	1293
Sevir.4G042800.2	1556
Sevir.4G042900.1	2527
Sevir.4G043000.1	1918
Sevir.4G043001.1	285
Sevir.4G043002.1	975
Sevir.4G043003.1	708
Sevir.4G043004.1	444
Sevir.4G043005.1	504
Sevir.4G043200.1	2043
Sevir.4G043300.1	336
Sevir.4G043400.1	1783
Sevir.4G043500.1	2331
Sevir.4G043600.1	1323
Sevir.4G043700.1	1252
Sevir.4G043800.1	3093
Sevir.4G043900.4	2950
Sevir.4G044000.1	2489
Sevir.4G044100.1	2769
Sevir.4G044200.1	4184
Sevir.4G044300.1	3092
Sevir.4G044400.1	3549
Sevir.4G044500.1	3149
Sevir.4G044600.1	1734
Sevir.4G044700.1	2932
Sevir.4G044800.1	2559
Sevir.4G044900.1	1293
Sevir.4G045000.1	3189
Sevir.4G045001.1	783
Sevir.4G045100.1	2176
Sevir.4G045200.1	1711
Sevir.4G045300.1	773
Sevir.4G045400.1	647
Sevir.4G045500.1	939
Sevir.4G045600.1	5221
Sevir.4G045601.1	474
Sevir.4G045700.1	162
Sevir.4G045800.1	971
Sevir.4G045900.1	2750
Sevir.4G046000.1	1734
Sevir.4G046100.1	789
Sevir.4G046200.1	1845
Sevir.4G046300.1	517
Sevir.4G046500.1	1556
Sevir.4G046600.1	2185
Sevir.4G046601.1	305
Sevir.4G046700.2	1548
Sevir.4G046800.1	3261
Sevir.4G046900.1	1907
Sevir.4G047000.1	1147
Sevir.4G047100.2	1639
Sevir.4G047200.1	796
Sevir.4G047300.1	1773
Sevir.4G047400.1	2305
Sevir.4G047500.1	552
Sevir.4G047600.1	4619
Sevir.4G047700.1	1503
Sevir.4G047701.1	1757
Sevir.4G047702.1	1152
Sevir.4G047703.1	796
Sevir.4G047704.1	655
Sevir.4G048000.1	2087
Sevir.4G048100.1	2891
Sevir.4G048200.1	3252
Sevir.4G048300.1	3155
Sevir.4G048400.1	2684
Sevir.4G048500.1	1282
Sevir.4G048600.1	6222
Sevir.4G048700.2	2135
Sevir.4G048701.1	351
Sevir.4G048800.1	1974
Sevir.4G048900.1	1155
Sevir.4G049000.1	477
Sevir.4G049100.1	656
Sevir.4G049200.1	2748
Sevir.4G049201.1	2305
Sevir.4G049202.1	1895
Sevir.4G049400.1	5048
Sevir.4G049500.1	1585
Sevir.4G049600.1	801
Sevir.4G049700.1	1176
Sevir.4G049800.1	594
Sevir.4G049801.1	725
Sevir.4G050000.1	2209
Sevir.4G050100.1	3985
Sevir.4G050200.2	2177
Sevir.4G050300.1	1896
Sevir.4G050400.1	1914
Sevir.4G050500.1	462
Sevir.4G050600.1	2209
Sevir.4G050700.1	705
Sevir.4G050800.1	1648
Sevir.4G050900.1	1269
Sevir.4G051000.1	3588
Sevir.4G051100.1	2115
Sevir.4G051200.1	2348
Sevir.4G051300.1	741
Sevir.4G051400.1	2866
Sevir.4G051500.1	3014
Sevir.4G051600.1	613
Sevir.4G051700.1	2131
Sevir.4G051701.1	1608
Sevir.4G051900.1	1554
Sevir.4G052000.1	1206
Sevir.4G052100.1	459
Sevir.4G052200.8	1939
Sevir.4G052201.1	3535
Sevir.4G052400.1	709
Sevir.4G052500.1	1944
Sevir.4G052600.1	1917
Sevir.4G052601.1	2296
Sevir.4G052800.1	1424
Sevir.4G052900.1	1591
Sevir.4G052901.1	2168
Sevir.4G053000.1	2627
Sevir.4G053100.1	405
Sevir.4G053101.1	670
Sevir.4G053200.1	1242
Sevir.4G053300.1	1642
Sevir.4G053400.1	513
Sevir.4G053500.1	2909
Sevir.4G053600.1	1878
Sevir.4G053601.1	2059
Sevir.4G053602.1	2210
Sevir.4G053700.1	1197
Sevir.4G053800.1	3605
Sevir.4G053900.1	2367
Sevir.4G054000.1	730
Sevir.4G054100.1	954
Sevir.4G054200.1	396
Sevir.4G054300.1	1920
Sevir.4G054400.1	1776
Sevir.4G054500.1	3891
Sevir.4G054700.1	2790
Sevir.4G054800.1	3477
Sevir.4G054801.1	495
Sevir.4G055000.1	805
Sevir.4G055100.1	1054
Sevir.4G055200.1	2206
Sevir.4G055300.1	1268
Sevir.4G055400.1	423
Sevir.4G055500.1	4596
Sevir.4G055600.1	2085
Sevir.4G055700.1	3280
Sevir.4G055800.1	1221
Sevir.4G055900.1	2990
Sevir.4G056000.1	3193
Sevir.4G056100.1	1880
Sevir.4G056200.1	2530
Sevir.4G056300.1	1124
Sevir.4G056400.2	2846
Sevir.4G056500.3	2887
Sevir.4G056600.1	2349
Sevir.4G056700.1	1499
Sevir.4G056800.1	396
Sevir.4G056900.1	3070
Sevir.4G057000.1	964
Sevir.4G057100.1	3620
Sevir.4G057200.1	2188
Sevir.4G057300.1	1489
Sevir.4G057400.1	1212
Sevir.4G057500.1	2656
Sevir.4G057600.1	4156
Sevir.4G057601.1	391
Sevir.4G057602.1	568
Sevir.4G057603.1	238
Sevir.4G057700.1	1995
Sevir.4G057800.1	3247
Sevir.4G057900.1	720
Sevir.4G058000.1	831
Sevir.4G058100.1	7827
Sevir.4G058200.1	291
Sevir.4G058300.1	291
Sevir.4G058400.1	1236
Sevir.4G058500.1	1810
Sevir.4G058600.1	1596
Sevir.4G058700.1	1516
Sevir.4G058800.1	1816
Sevir.4G058900.1	2178
Sevir.4G059000.1	3427
Sevir.4G059100.1	1515
Sevir.4G059200.1	2148
Sevir.4G059300.3	1347
Sevir.4G059400.1	1768
Sevir.4G059401.1	93
Sevir.4G059500.1	4025
Sevir.4G059501.1	1369
Sevir.4G059600.1	1867
Sevir.4G059700.1	1967
Sevir.4G059800.2	3254
Sevir.4G059900.1	2303
Sevir.4G060000.1	4519
Sevir.4G060100.1	2266
Sevir.4G060101.1	2084
Sevir.4G060300.1	610
Sevir.4G060400.1	1892
Sevir.4G060500.1	3204
Sevir.4G060600.1	687
Sevir.4G060601.1	3446
Sevir.4G060800.1	1323
Sevir.4G060900.3	1377
Sevir.4G060901.1	1213
Sevir.4G061100.1	1994
Sevir.4G061200.1	861
Sevir.4G061300.1	291
Sevir.4G061301.1	1770
Sevir.4G061302.1	2765
Sevir.4G061400.1	465
Sevir.4G061500.1	759
Sevir.4G061600.1	1530
Sevir.4G061601.1	384
Sevir.4G061700.2	2735
Sevir.4G061800.1	1161
Sevir.4G061900.1	3520
Sevir.4G062000.1	920
Sevir.4G062001.1	529
Sevir.4G062002.1	207
Sevir.4G062300.1	1070
Sevir.4G062400.1	621
Sevir.4G062500.1	720
Sevir.4G062600.1	786
Sevir.4G062700.1	2572
Sevir.4G062800.1	828
Sevir.4G062900.1	1083
Sevir.4G063000.1	810
Sevir.4G063100.1	795
Sevir.4G063101.1	945
Sevir.4G063102.1	2305
Sevir.4G063103.1	487
Sevir.4G063300.1	411
Sevir.4G063400.1	2860
Sevir.4G063500.1	2144
Sevir.4G063600.1	915
Sevir.4G063700.1	1200
Sevir.4G063800.1	1823
Sevir.4G063801.1	759
Sevir.4G064000.1	3859
Sevir.4G064001.1	1046
Sevir.4G064002.1	686
Sevir.4G064200.1	2219
Sevir.4G064300.2	5945
Sevir.4G064400.1	492
Sevir.4G064500.2	1319
Sevir.4G064600.3	1027
Sevir.4G064700.1	1129
Sevir.4G064800.1	1152
Sevir.4G064900.1	2422
Sevir.4G065000.1	2392
Sevir.4G065100.1	2003
Sevir.4G065200.1	1715
Sevir.4G065300.1	2334
Sevir.4G065400.1	345
Sevir.4G065500.1	477
Sevir.4G065600.1	1146
Sevir.4G065700.1	900
Sevir.4G065800.1	1712
Sevir.4G065900.1	1865
Sevir.4G066000.2	1801
Sevir.4G066100.1	1285
Sevir.4G066200.1	786
Sevir.4G066300.1	273
Sevir.4G066400.1	1149
Sevir.4G066500.1	1029
Sevir.4G066501.1	659
Sevir.4G066700.1	1550
Sevir.4G066800.1	1074
Sevir.4G066900.1	539
Sevir.4G067000.1	1336
Sevir.4G067100.1	836
Sevir.4G067200.1	2348
Sevir.4G067300.1	2699
Sevir.4G067400.1	1059
Sevir.4G067500.1	561
Sevir.4G067600.1	2288
Sevir.4G067700.1	6522
Sevir.4G067800.2	1830
Sevir.4G067900.1	2207
Sevir.4G067901.1	294
Sevir.4G067902.1	616
Sevir.4G068100.2	231
Sevir.4G068200.1	195
Sevir.4G068300.1	2913
Sevir.4G068400.2	1497
Sevir.4G068500.1	717
Sevir.4G068600.1	1350
Sevir.4G068601.1	1274
Sevir.4G068602.1	1120
Sevir.4G068603.1	2274
Sevir.4G068700.1	1448
Sevir.4G068800.2	3600
Sevir.4G068900.1	565
Sevir.4G069000.1	1586
Sevir.4G069100.1	891
Sevir.4G069200.1	1347
Sevir.4G069300.1	2203
Sevir.4G069400.1	309
Sevir.4G069401.1	906
Sevir.4G069500.1	1975
Sevir.4G069600.1	1338
Sevir.4G069700.1	1597
Sevir.4G069800.1	2470
Sevir.4G069801.1	2353
Sevir.4G070000.1	541
Sevir.4G070100.1	150
Sevir.4G070200.1	2476
Sevir.4G070300.1	1468
Sevir.4G070400.1	2498
Sevir.4G070500.1	1426
Sevir.4G070600.1	1996
Sevir.4G070700.1	2210
Sevir.4G070800.1	2604
Sevir.4G070900.1	1189
Sevir.4G071000.1	903
Sevir.4G071001.1	429
Sevir.4G071100.1	3135
Sevir.4G071101.1	527
Sevir.4G071200.1	1655
Sevir.4G071300.1	2175
Sevir.4G071400.1	2339
Sevir.4G071500.1	1397
Sevir.4G071600.1	663
Sevir.4G071700.1	420
Sevir.4G071800.1	1001
Sevir.4G071900.1	552
Sevir.4G072000.1	504
Sevir.4G072100.1	890
Sevir.4G072200.1	1481
Sevir.4G072300.1	642
Sevir.4G072400.1	3893
Sevir.4G072500.1	1541
Sevir.4G072600.1	1800
Sevir.4G072700.1	1186
Sevir.4G072800.1	1813
Sevir.4G072900.1	1839
Sevir.4G073000.1	949
Sevir.4G073001.1	4425
Sevir.4G073002.1	744
Sevir.4G073003.1	420
Sevir.4G073200.1	1495
Sevir.4G073300.1	447
Sevir.4G073400.1	1431
Sevir.4G073401.1	1440
Sevir.4G073402.1	465
Sevir.4G073600.1	1826
Sevir.4G073700.1	1104
Sevir.4G074000.1	2470
Sevir.4G074001.1	325
Sevir.4G074100.1	849
Sevir.4G074200.2	606
Sevir.4G074300.2	417
Sevir.4G074301.1	1243
Sevir.4G074500.1	597
Sevir.4G074501.1	177
Sevir.4G074600.1	309
Sevir.4G074700.2	1247
Sevir.4G074800.1	372
Sevir.4G074900.1	369
Sevir.4G074901.1	342
Sevir.4G075100.1	4150
Sevir.4G075200.1	459
Sevir.4G075300.1	2230
Sevir.4G075400.1	1567
Sevir.4G075500.1	1378
Sevir.4G075600.1	1473
Sevir.4G075700.1	4557
Sevir.4G075800.1	288
Sevir.4G075900.1	1816
Sevir.4G076000.1	1884
Sevir.4G076100.1	1616
Sevir.4G076200.1	1629
Sevir.4G076201.1	1691
Sevir.4G076300.5	1944
Sevir.4G076301.1	622
Sevir.4G076400.1	1495
Sevir.4G076500.1	1074
Sevir.4G076600.1	1482
Sevir.4G076700.2	1406
Sevir.4G076800.1	2758
Sevir.4G076900.1	2770
Sevir.4G077000.1	2683
Sevir.4G077100.1	3692
Sevir.4G077200.1	1335
Sevir.4G077300.2	1947
Sevir.4G077400.1	3128
Sevir.4G077500.2	2070
Sevir.4G077600.1	1765
Sevir.4G077700.1	1960
Sevir.4G077701.1	904
Sevir.4G077702.1	456
Sevir.4G077900.1	791
Sevir.4G078000.1	2423
Sevir.4G078100.1	1444
Sevir.4G078200.1	2342
Sevir.4G078300.1	1879
Sevir.4G078400.1	522
Sevir.4G078600.1	891
Sevir.4G078700.1	2117
Sevir.4G078800.1	1768
Sevir.4G078900.1	1747
Sevir.4G079000.1	391
Sevir.4G079100.2	1335
Sevir.4G079200.1	234
Sevir.4G079201.1	811
Sevir.4G079400.1	1373
Sevir.4G079500.1	1111
Sevir.4G079600.3	2866
Sevir.4G079700.1	714
Sevir.4G079800.1	294
Sevir.4G080000.1	4490
Sevir.4G080100.1	1640
Sevir.4G080200.1	2482
Sevir.4G080300.1	1706
Sevir.4G080400.1	2039
Sevir.4G080500.1	2032
Sevir.4G080600.1	1924
Sevir.4G080700.1	1970
Sevir.4G080800.1	1923
Sevir.4G080900.1	1725
Sevir.4G081000.1	1180
Sevir.4G081100.1	2043
Sevir.4G081200.1	2384
Sevir.4G081300.1	513
Sevir.4G081400.1	522
Sevir.4G081500.1	1894
Sevir.4G081600.1	1941
Sevir.4G081700.1	447
Sevir.4G081701.1	363
Sevir.4G081800.1	2072
Sevir.4G081900.1	1853
Sevir.4G082000.1	1171
Sevir.4G082100.1	1452
Sevir.4G082200.1	1327
Sevir.4G082300.1	2560
Sevir.4G082400.1	1218
Sevir.4G082500.1	2022
Sevir.4G082600.1	2635
Sevir.4G082700.1	2092
Sevir.4G082800.1	528
Sevir.4G082900.1	1662
Sevir.4G083000.1	1557
Sevir.4G083100.3	4966
Sevir.4G083200.1	1417
Sevir.4G083300.1	2753
Sevir.4G083400.1	996
Sevir.4G083500.1	2248
Sevir.4G083600.1	1201
Sevir.4G083700.1	3489
Sevir.4G083800.1	1138
Sevir.4G083900.1	3355
Sevir.4G084000.1	1405
Sevir.4G084001.1	482
Sevir.4G084200.1	1570
Sevir.4G084300.1	3783
Sevir.4G084400.1	903
Sevir.4G084500.1	3147
Sevir.4G084600.1	1380
Sevir.4G084700.1	3716
Sevir.4G084800.1	903
Sevir.4G084801.1	883
Sevir.4G084900.1	912
Sevir.4G085000.1	967
Sevir.4G085100.1	4834
Sevir.4G085200.1	4153
Sevir.4G085300.1	1641
Sevir.4G085400.1	3916
Sevir.4G085500.1	2046
Sevir.4G085600.1	1841
Sevir.4G085700.1	1846
Sevir.4G085800.1	3723
Sevir.4G085801.1	252
